PROVINCE,MONTH,DAY,HOUR,VALUE
BC,1,23,1,7347.0
BC,1,23,2,7120.0
BC,1,23,3,7054.0
BC,1,23,4,6994.0
BC,1,23,5,7083.0
BC,1,23,6,7425.0
BC,1,23,7,8115.0
BC,1,23,8,8850.0
BC,1,23,9,8969.0
BC,1,23,10,8859.0
BC,1,23,11,8760.0
BC,1,23,12,8628.0
BC,1,23,13,8530.0
BC,1,23,14,8441.0
BC,1,23,15,8380.0
BC,1,23,16,8461.0
BC,1,23,17,8833.0
BC,1,23,18,9312.0
BC,1,23,19,9260.0
BC,1,23,20,9070.0
BC,1,23,21,8845.0
BC,1,23,22,8526.0
BC,1,23,23,8035.0
BC,1,23,24,7565.0
BC,1,24,1,7227.0
BC,1,24,2,7033.0
BC,1,24,3,6924.0
BC,1,24,4,6914.0
BC,1,24,5,7026.0
BC,1,24,6,7428.0
BC,1,24,7,8154.0
BC,1,24,8,8942.0
BC,1,24,9,9025.0
BC,1,24,10,9013.0
BC,1,24,11,8933.0
BC,1,24,12,8820.0
BC,1,24,13,8806.0
BC,1,24,14,8749.0
BC,1,24,15,8674.0
BC,1,24,16,8708.0
BC,1,24,17,8993.0
BC,1,24,18,9509.0
BC,1,24,19,9355.0
BC,1,24,20,9147.0
BC,1,24,21,8912.0
BC,1,24,22,8538.0
BC,1,24,23,8028.0
BC,1,24,24,7584.0
BC,1,25,1,7183.0
BC,1,25,2,6977.0
BC,1,25,3,6897.0
BC,1,25,4,6841.0
BC,1,25,5,6965.0
BC,1,25,6,7331.0
BC,1,25,7,8050.0
BC,1,25,8,8819.0
BC,1,25,9,8974.0
BC,1,25,10,8958.0
BC,1,25,11,8902.0
BC,1,25,12,8825.0
BC,1,25,13,8705.0
BC,1,25,14,8564.0
BC,1,25,15,8474.0
BC,1,25,16,8525.0
BC,1,25,17,8833.0
BC,1,25,18,9254.0
BC,1,25,19,9167.0
BC,1,25,20,8909.0
BC,1,25,21,8677.0
BC,1,25,22,8337.0
BC,1,25,23,7908.0
BC,1,25,24,7453.0
BC,1,26,1,7057.0
BC,1,26,2,6866.0
BC,1,26,3,6743.0
BC,1,26,4,6698.0
BC,1,26,5,6735.0
BC,1,26,6,6908.0
BC,1,26,7,7285.0
BC,1,26,8,7691.0
BC,1,26,9,8087.0
BC,1,26,10,8354.0
BC,1,26,11,8444.0
BC,1,26,12,8394.0
BC,1,26,13,8285.0
BC,1,26,14,8166.0
BC,1,26,15,8102.0
BC,1,26,16,8173.0
BC,1,26,17,8413.0
BC,1,26,18,8811.0
BC,1,26,19,8743.0
BC,1,26,20,8514.0
BC,1,26,21,8363.0
BC,1,26,22,8105.0
BC,1,26,23,7756.0
BC,1,26,24,7389.0
BC,1,27,1,7107.0
BC,1,27,2,6951.0
BC,1,27,3,6780.0
BC,1,27,4,6719.0
BC,1,27,5,6818.0
BC,1,27,6,6962.0
BC,1,27,7,7275.0
BC,1,27,8,7632.0
BC,1,27,9,8007.0
BC,1,27,10,8237.0
BC,1,27,11,8307.0
BC,1,27,12,8282.0
BC,1,27,13,8177.0
BC,1,27,14,8041.0
BC,1,27,15,7973.0
BC,1,27,16,7999.0
BC,1,27,17,8319.0
BC,1,27,18,8872.0
BC,1,27,19,8884.0
BC,1,27,20,8699.0
BC,1,27,21,8513.0
BC,1,27,22,8234.0
BC,1,27,23,7785.0
BC,1,27,24,7373.0
BC,1,28,1,7106.0
BC,1,28,2,6974.0
BC,1,28,3,6937.0
BC,1,28,4,6962.0
BC,1,28,5,7125.0
BC,1,28,6,7535.0
BC,1,28,7,8255.0
BC,1,28,8,9016.0
BC,1,28,9,9076.0
BC,1,28,10,9029.0
BC,1,28,11,8910.0
BC,1,28,12,8732.0
BC,1,28,13,8585.0
BC,1,28,14,8462.0
BC,1,28,15,8377.0
BC,1,28,16,8406.0
BC,1,28,17,8761.0
BC,1,28,18,9397.0
BC,1,28,19,9418.0
BC,1,28,20,9234.0
BC,1,28,21,9029.0
BC,1,28,22,8679.0
BC,1,28,23,8147.0
BC,1,28,24,7630.0
BC,1,29,1,7366.0
BC,1,29,2,7212.0
BC,1,29,3,7123.0
BC,1,29,4,7196.0
BC,1,29,5,7385.0
BC,1,29,6,7810.0
BC,1,29,7,8701.0
BC,1,29,8,9523.0
BC,1,29,9,9602.0
BC,1,29,10,9383.0
BC,1,29,11,9148.0
BC,1,29,12,8909.0
BC,1,29,13,8702.0
BC,1,29,14,8570.0
BC,1,29,15,8443.0
BC,1,29,16,8495.0
BC,1,29,17,8830.0
BC,1,29,18,9499.0
BC,1,29,19,9575.0
BC,1,29,20,9425.0
BC,1,29,21,9221.0
BC,1,29,22,8843.0
BC,1,29,23,8323.0
BC,1,29,24,7824.0
BC,1,30,1,7576.0
BC,1,30,2,7354.0
BC,1,30,3,7337.0
BC,1,30,4,7227.0
BC,1,30,5,7387.0
BC,1,30,6,7758.0
BC,1,30,7,8491.0
BC,1,30,8,9319.0
BC,1,30,9,9349.0
BC,1,30,10,9218.0
BC,1,30,11,9055.0
BC,1,30,12,8922.0
BC,1,30,13,8819.0
BC,1,30,14,8760.0
BC,1,30,15,8660.0
BC,1,30,16,8747.0
BC,1,30,17,9064.0
BC,1,30,18,9565.0
BC,1,30,19,9473.0
BC,1,30,20,9289.0
BC,1,30,21,9003.0
BC,1,30,22,8580.0
BC,1,30,23,8018.0
BC,1,30,24,7520.0
BC,1,31,1,7168.0
BC,1,31,2,6954.0
BC,1,31,3,6882.0
BC,1,31,4,6899.0
BC,1,31,5,7088.0
BC,1,31,6,7498.0
BC,1,31,7,8215.0
BC,1,31,8,8863.0
BC,1,31,9,8925.0
BC,1,31,10,8896.0
BC,1,31,11,8858.0
BC,1,31,12,8778.0
BC,1,31,13,8740.0
BC,1,31,14,8674.0
BC,1,31,15,8633.0
BC,1,31,16,8662.0
BC,1,31,17,8920.0
BC,1,31,18,9363.0
BC,1,31,19,9287.0
BC,1,31,20,9064.0
BC,1,31,21,8838.0
BC,1,31,22,8426.0
BC,1,31,23,7947.0
BC,1,31,24,7438.0
BC,2,1,1,7105.0
BC,2,1,2,6938.0
BC,2,1,3,6831.0
BC,2,1,4,6808.0
BC,2,1,5,6891.0
BC,2,1,6,7278.0
BC,2,1,7,7992.0
BC,2,1,8,8744.0
BC,2,1,9,8904.0
BC,2,1,10,8909.0
BC,2,1,11,8895.0
BC,2,1,12,8884.0
BC,2,1,13,8841.0
BC,2,1,14,8768.0
BC,2,1,15,8691.0
BC,2,1,16,8705.0
BC,2,1,17,8908.0
BC,2,1,18,9270.0
BC,2,1,19,9152.0
BC,2,1,20,8866.0
BC,2,1,21,8594.0
BC,2,1,22,8233.0
BC,2,1,23,7778.0
BC,2,1,24,7393.0
BC,2,2,1,7061.0
BC,2,2,2,6813.0
BC,2,2,3,6696.0
BC,2,2,4,6692.0
BC,2,2,5,6764.0
BC,2,2,6,6910.0
BC,2,2,7,7276.0
BC,2,2,8,7777.0
BC,2,2,9,8174.0
BC,2,2,10,8396.0
BC,2,2,11,8438.0
BC,2,2,12,8364.0
BC,2,2,13,8280.0
BC,2,2,14,8177.0
BC,2,2,15,8139.0
BC,2,2,16,8197.0
BC,2,2,17,8464.0
BC,2,2,18,8974.0
BC,2,2,19,8950.0
BC,2,2,20,8747.0
BC,2,2,21,8550.0
BC,2,2,22,8290.0
BC,2,2,23,7930.0
BC,2,2,24,7560.0
BC,2,3,1,7305.0
BC,2,3,2,7165.0
BC,2,3,3,7125.0
BC,2,3,4,7115.0
BC,2,3,5,7189.0
BC,2,3,6,7364.0
BC,2,3,7,7775.0
BC,2,3,8,8224.0
BC,2,3,9,8694.0
BC,2,3,10,9112.0
BC,2,3,11,9329.0
BC,2,3,12,9459.0
BC,2,3,13,9488.0
BC,2,3,14,9448.0
BC,2,3,15,9421.0
BC,2,3,16,9411.0
BC,2,3,17,9706.0
BC,2,3,18,10174.0
BC,2,3,19,10177.0
