REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
MW,NUC,Nuc_F,1,2034,10.46
MW,NUC,Nuc_F,1,2035,10.46
MW,NUC,Nuc_F,1,2036,10.46
MW,NUC,Nuc_F,1,2037,10.46
MW,NUC,Nuc_F,1,2038,10.46
MW,NUC,Nuc_F,1,2039,10.46
MW,NUC,Nuc_F,1,2040,10.46
MW,NUC,Nuc_F,1,2041,10.46
MW,NUC,Nuc_F,1,2042,10.46
MW,NUC,Nuc_F,1,2043,10.46
MW,NUC,Nuc_F,1,2044,10.46
MW,NUC,Nuc_F,1,2045,10.46
MW,NUC,Nuc_F,1,2046,10.46
MW,NUC,Nuc_F,1,2047,10.46
MW,NUC,Nuc_F,1,2048,10.46
MW,NUC,Nuc_F,1,2049,10.46
MW,NUC,Nuc_F,1,2050,10.46
MW,P2G,ELC,1,2019,1.15
MW,P2G,ELC,1,2020,1.15
MW,P2G,ELC,1,2021,1.15
MW,P2G,ELC,1,2022,1.15
MW,P2G,ELC,1,2023,1.15
MW,P2G,ELC,1,2024,1.15
MW,P2G,ELC,1,2025,1.15
MW,P2G,ELC,1,2026,1.15
MW,P2G,ELC,1,2027,1.15
MW,P2G,ELC,1,2028,1.15
MW,P2G,ELC,1,2029,1.15
MW,P2G,ELC,1,2030,1.15
MW,P2G,ELC,1,2031,1.15
MW,P2G,ELC,1,2032,1.15
MW,P2G,ELC,1,2033,1.15
MW,P2G,ELC,1,2034,1.15
MW,P2G,ELC,1,2035,1.15
MW,P2G,ELC,1,2036,1.15
MW,P2G,ELC,1,2037,1.15
MW,P2G,ELC,1,2038,1.15
MW,P2G,ELC,1,2039,1.15
MW,P2G,ELC,1,2040,1.15
MW,P2G,ELC,1,2041,1.15
MW,P2G,ELC,1,2042,1.15
MW,P2G,ELC,1,2043,1.15
MW,P2G,ELC,1,2044,1.15
MW,P2G,ELC,1,2045,1.15
MW,P2G,ELC,1,2046,1.15
MW,P2G,ELC,1,2047,1.15
MW,P2G,ELC,1,2048,1.15
MW,P2G,ELC,1,2049,1.15
MW,P2G,ELC,1,2050,1.15
MW,NGCT,NG_F,1,2019,9.691785714
MW,NGCT,NG_F,1,2020,9.635714286
MW,NGCT,NG_F,1,2021,9.579642857
MW,NGCT,NG_F,1,2022,9.523571429
MW,NGCT,NG_F,1,2023,9.4675
MW,NGCT,NG_F,1,2024,9.411428571
MW,NGCT,NG_F,1,2025,9.355357143
MW,NGCT,NG_F,1,2026,9.299285714
MW,NGCT,NG_F,1,2027,9.243214286
MW,NGCT,NG_F,1,2028,9.187142857
MW,NGCT,NG_F,1,2029,9.131071429
MW,NGCT,NG_F,1,2030,9.075
MW,NGCT,NG_F,1,2031,9.075
MW,NGCT,NG_F,1,2032,9.075
MW,NGCT,NG_F,1,2033,9.075
MW,NGCT,NG_F,1,2034,9.075
MW,NGCT,NG_F,1,2035,9.075
MW,NGCT,NG_F,1,2036,9.075
MW,NGCT,NG_F,1,2037,9.075
MW,NGCT,NG_F,1,2038,9.075
MW,NGCT,NG_F,1,2039,9.075
MW,NGCT,NG_F,1,2040,9.075
MW,NGCT,NG_F,1,2041,9.075
MW,NGCT,NG_F,1,2042,9.075
MW,NGCT,NG_F,1,2043,9.075
MW,NGCT,NG_F,1,2044,9.075
MW,NGCT,NG_F,1,2045,9.075
MW,NGCT,NG_F,1,2046,9.075
MW,NGCT,NG_F,1,2047,9.075
MW,NGCT,NG_F,1,2048,9.075
MW,NGCT,NG_F,1,2049,9.075
MW,NGCT,NG_F,1,2050,9.075
MW,NGCC,NG_F,1,2019,9.691785714
MW,NGCC,NG_F,1,2020,9.635714286
MW,NGCC,NG_F,1,2021,9.579642857
MW,NGCC,NG_F,1,2022,9.523571429
MW,NGCC,NG_F,1,2023,9.4675
MW,NGCC,NG_F,1,2024,9.411428571
MW,NGCC,NG_F,1,2025,9.355357143
MW,NGCC,NG_F,1,2026,9.299285714
MW,NGCC,NG_F,1,2027,9.243214286
MW,NGCC,NG_F,1,2028,9.187142857
MW,NGCC,NG_F,1,2029,9.131071429
MW,NGCC,NG_F,1,2030,9.075
MW,NGCC,NG_F,1,2031,9.075
MW,NGCC,NG_F,1,2032,9.075
MW,NGCC,NG_F,1,2033,9.075
MW,NGCC,NG_F,1,2034,9.075
MW,NGCC,NG_F,1,2035,9.075
MW,NGCC,NG_F,1,2036,9.075
MW,NGCC,NG_F,1,2037,9.075
MW,NGCC,NG_F,1,2038,9.075
MW,NGCC,NG_F,1,2039,9.075
MW,NGCC,NG_F,1,2040,9.075
MW,NGCC,NG_F,1,2041,9.075
MW,NGCC,NG_F,1,2042,9.075
MW,NGCC,NG_F,1,2043,9.075
MW,NGCC,NG_F,1,2044,9.075
MW,NGCC,NG_F,1,2045,9.075
MW,NGCC,NG_F,1,2046,9.075
